 @OpenWithToastLogo.png                                                 | 0.2 kb
api-ms-win-core-version-private-l1-1-0.dll                             | 2.5 kb
api-ms-win-core-versionansi-l1-1-0.dll                                 | 2.5 kb
api-ms-win-core-windowserrorreporting-l1-1-0.dll                       | 3.0 kb
api-ms-win-core-winrt-error-l1-1-0.dll                                 | 3.5 kb
api-ms-win-core-winrt-error-l1-1-1.dll                                 | 3.5 kb
api-ms-win-core-winrt-errorprivate-l1-1-0.dll                          | 3.0 kb
api-ms-win-core-winrt-errorprivate-l1-1-1.dll                          | 3.0 kb
api-ms-win-core-winrt-l1-1-0.dll                                       | 3.5 kb
api-ms-win-core-winrt-propertysetprivate-l1-1-0.dll                    | 3.0 kb
api-ms-win-core-winrt-registration-l1-1-0.dll                          | 3.0 kb
api-ms-win-core-winrt-robuffer-l1-1-0.dll                              | 3.0 kb
api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll                    | 3.0 kb
api-ms-win-core-winrt-string-l1-1-0.dll                                | 4.0 kb
api-ms-win-core-wow64-l1-1-0.dll                                       | 2.5 kb
api-ms-win-core-xstate-l1-1-0.dll                                      | 3.0 kb
api-ms-win-core-xstate-l1-1-1.dll                                      | 3.5 kb
api-ms-win-core-xstate-l2-1-0.dll                                      | 2.5 kb
api-ms-win-crt-conio-l1-1-0.dll                                        | 12.3 kb
api-ms-win-crt-convert-l1-1-0.dll                                      | 15.3 kb
api-ms-win-crt-environment-l1-1-0.dll                                  | 11.8 kb
api-ms-win-crt-filesystem-l1-1-0.dll                                   | 13.3 kb
api-ms-win-crt-heap-l1-1-0.dll                                         | 12.3 kb
api-ms-win-crt-locale-l1-1-0.dll                                       | 11.8 kb
api-ms-win-crt-math-l1-1-0.dll                                         | 20.3 kb
api-ms-win-crt-multibyte-l1-1-0.dll                                    | 19.3 kb
api-ms-win-crt-private-l1-1-0.dll                                      | 62.3 kb
api-ms-win-crt-process-l1-1-0.dll                                      | 12.3 kb
api-ms-win-crt-runtime-l1-1-0.dll                                      | 15.8 kb
api-ms-win-crt-stdio-l1-1-0.dll                                        | 17.3 kb
api-ms-win-crt-string-l1-1-0.dll                                       | 17.3 kb
api-ms-win-crt-time-l1-1-0.dll                                         | 13.8 kb
api-ms-win-crt-utility-l1-1-0.dll                                      | 11.8 kb
api-ms-win-devices-config-l1-1-0.dll                                   | 4.5 kb
api-ms-win-devices-config-l1-1-1.dll                                   | 4.5 kb
api-ms-win-devices-query-l1-1-0.dll                                    | 3.0 kb
api-ms-win-devices-query-l1-1-1.dll                                    | 3.0 kb
api-ms-win-devices-swdevice-l1-1-0.dll                                 | 2.5 kb
api-ms-win-devices-swdevice-l1-1-1.dll                                 | 2.5 kb
api-ms-win-downlevel-advapi32-l1-1-0.dll                               | 6.5 kb
api-ms-win-downlevel-advapi32-l1-1-1.dll                               | 7.0 kb
api-ms-win-downlevel-advapi32-l2-1-0.dll                               | 3.5 kb
api-ms-win-downlevel-advapi32-l2-1-1.dll                               | 5.0 kb
api-ms-win-downlevel-advapi32-l3-1-0.dll                               | 2.5 kb
api-ms-win-downlevel-advapi32-l4-1-0.dll                               | 3.5 kb
api-ms-win-downlevel-kernel32-l1-1-0.dll                               | 20.5 kb
api-ms-win-downlevel-kernel32-l2-1-0.dll                               | 5.5 kb
api-ms-win-downlevel-normaliz-l1-1-0.dll                               | 2.5 kb
api-ms-win-downlevel-ole32-l1-1-0.dll                                  | 4.5 kb
